@timestamp,@billedDuration,@duration,@maxMemoryUsed,@in
2021-11-25 16:44:18.382,32,31.81,202000000,
2021-11-25 16:44:19.500,63,62.68,202000000,
2021-11-25 16:44:20.604,60,59.06,202000000,
2021-11-25 16:44:21.683,32,31.72,202000000,
2021-11-25 16:44:22.781,32,31.39,202000000,
2021-11-25 16:44:23.882,32,31.3,202000000,
2021-11-25 16:44:24.980,33,32.73,202000000,
2021-11-25 16:44:26.100,48,47.75,202000000,
2021-11-25 16:44:27.200,52,51.02,202000000,
2021-11-25 16:44:28.282,32,31.57,202000000,
2021-11-25 16:44:29.420,63,62.72,202000000,
2021-11-25 16:44:30.520,32,31.71,202000000,
2021-11-25 16:44:31.620,45,44.51,202000000,
2021-11-25 16:44:32.720,47,46.58,202000000,
2021-11-25 16:44:33.821,36,35.4,202000000,
2021-11-25 16:44:34.960,44,43.95,202000000,
2021-11-25 16:44:36.043,36,35.55,202000000,
2021-11-25 16:44:37.241,93,92.71,202000000,
2021-11-25 16:44:38.343,33,32.58,202000000,
2021-11-25 16:44:39.443,28,27.86,202000000,
2021-11-25 16:44:40.561,52,51.71,202000000,
2021-11-25 16:44:41.662,32,31.55,202000000,
2021-11-25 16:44:42.763,32,31.51,202000000,
2021-11-25 16:44:43.862,32,31.83,202000000,
2021-11-25 16:44:45.064,32,31.45,202000000,
2021-11-25 16:44:46.280,99,98.12,202000000,
2021-11-25 16:44:47.480,104,103.62,202000000,
2021-11-25 16:44:48.580,45,44.56,202000000,
2021-11-25 16:44:49.680,44,43.45,202000000,
2021-11-25 16:44:50.783,48,47.44,202000000,
2021-11-25 16:44:51.880,41,40.24,202000000,
2021-11-25 16:44:52.980,32,31.78,202000000,
2021-11-25 16:44:54.181,81,80.33,202000000,
2021-11-25 16:44:55.321,64,63.79,202000000,
2021-11-25 16:44:56.440,41,40.6,202000000,
2021-11-25 16:44:57.560,52,51.9,202000000,
2021-11-25 16:44:58.680,71,70.91,202000000,
2021-11-25 16:44:59.742,32,31.46,202000000,
2021-11-25 16:45:00.842,32,31.4,202000000,
2021-11-25 16:45:01.960,49,48.26,202000000,
2021-11-25 16:45:03.040,32,31.7,202000000,
2021-11-25 16:45:04.160,44,43.93,202000000,
2021-11-25 16:45:05.243,37,36.68,202000000,
2021-11-25 16:45:06.340,37,36.07,202000000,
2021-11-25 16:45:07.461,40,39.36,202000000,
2021-11-25 16:45:08.580,46,45.34,202000000,
2021-11-25 16:45:09.702,37,36.36,202000000,
2021-11-25 16:45:10.803,38,37.47,202000000,
2021-11-25 16:45:11.902,32,31.49,202000000,
2021-11-25 16:45:13.021,44,43.42,202000000,
2021-11-25 16:45:14.140,45,44.15,202000000,
2021-11-25 16:45:15.240,48,47.5,202000000,
2021-11-25 16:45:16.340,44,43.13,202000000,
2021-11-25 16:45:17.440,45,44.74,202000000,
2021-11-25 16:45:18.560,47,46.16,202000000,
2021-11-25 16:45:19.745,84,83.87,202000000,
2021-11-25 16:45:20.860,44,43.71,202000000,
2021-11-25 16:45:21.983,48,47.61,202000000,
2021-11-25 16:45:23.103,45,44.35,202000000,
2021-11-25 16:45:24.200,33,32.14,202000000,
2021-11-25 16:45:25.384,76,75.55,202000000,
2021-11-25 16:45:26.500,44,43.4,202000000,
2021-11-25 16:45:27.620,46,45.44,202000000,
2021-11-25 16:45:28.721,56,55.65,202000000,
2021-11-25 16:45:29.820,40,39.99,202000000,
2021-11-25 16:45:30.922,40,39.62,202000000,
2021-11-25 16:45:32.020,36,35.62,202000000,
2021-11-25 16:45:33.103,28,27.5,202000000,
2021-11-25 16:45:34.220,48,47.77,202000000,
2021-11-25 16:45:35.300,37,36.63,202000000,
2021-11-25 16:45:36.420,46,45.34,202000000,
2021-11-25 16:45:37.503,32,31.37,202000000,
2021-11-25 16:45:38.601,36,35.13,202000000,
2021-11-25 16:45:39.702,32,31.55,202000000,
2021-11-25 16:45:40.820,47,46.61,202000000,
2021-11-25 16:45:41.940,46,45.9,202000000,
2021-11-25 16:45:43.024,32,31.36,202000000,
2021-11-25 16:45:44.143,40,39.66,202000000,
2021-11-25 16:45:45.300,60,59.26,202000000,
2021-11-25 16:45:46.382,36,35.67,202000000,
2021-11-25 16:45:47.481,32,31.16,202000000,
2021-11-25 16:45:48.581,32,31.24,202000000,
2021-11-25 16:45:49.683,33,32.29,202000000,
